[0.1407981382944008, 0.16933273397108684]
[-0.22947591384207966, 0.7837584517964403]
[0.07175684082326161, 0.031017554366057742]
[0.12108138907773247, 0.24835169991215067]
[0.020169417483679508, -0.32811052574469346]
[-0.6731052890476678, -0.539295600999821]
[-0.20498483043807192, 0.11171250757228512]
[0.473396265558671, 0.13126448899040333]
[-0.5094776969535069, -0.13222806166085854]
[0.11389938942559197, -0.16241265446587372]
[-0.4790845798741885, -0.4950744945520029]
[0.15720806002790577, -0.49630621527185315]
[0.04361988060385813, -0.17464244567127074]
[0.0042412958996924655, 0.01950211023922721]
[-0.09472499353719255, 0.2471483450018579]
[0.38720490520646933, 0.26485668637215687]
[0.04671903148231937, -0.10508302599613173]
[0.361013175245549, -0.01719256723451501]
[-0.21369144054850864, 0.12750849431035904]
[-0.13030008251042513, -0.06187261678492373]
[0.59384516485872, 0.3876147730846433]
[0.11147209028657368, -0.24007556366715832]
[-0.1354369059140179, 0.07597996876143265]
[0.026730987339485424, 0.019046832435090533]
[-0.08815365777132755, 0.015743676835251907]
[-0.062309585191149375, 0.026961314953402482]
[-0.1607388424092202, 0.1714521791311856]
[-0.16797000179955757, -0.04380125783301425]
[0.23753034482479207, -0.06091854426452992]
[-0.06156745658310725, 0.07382028122550155]
[0.014824620829277046, 0.08258615076687592]
[0.03335846346906601, -0.06987689946616538]
[-0.004376631778248596, 0.11869282511056234]
[-0.1767280630316841, -0.317959086927069]
[-0.025014350707088684, 0.2264246552079383]
[-0.33495594528287076, -0.2644274780096161]
[0.14422321690065898, -0.24070349540836156]
[0.04396536244075544, 0.08720061730813966]
[-0.38385537295592975, 0.046889871117612225]
[-0.10860069342382239, 0.11303593287746705]
[-0.02131833478241396, -0.01798610598113415]
[-0.006757408603769832, 0.21206673459825132]
[0.011889150112948443, 0.11412235471369514]
[0.13077416280310472, 0.4480968671932377]
[-0.050092936542608324, 0.10514017240739504]
[0.04884852392705019, -0.06859520921183426]
[-0.031561811247885596, 0.09365805785133618]
[-0.09628059560436975, 0.060185110920021934]
[0.3475715791438261, 0.014698908214717421]
[-0.2896531178361921, 0.17962599380691632]
[0.1538452432454993, 0.12695688560840168]
[0.0010812570573742741, 0.002936004247757168]
[-0.0219720141838326, -0.20336179935949028]
[-0.07576521305281836, -0.17974021751202252]
[0.10624891142809378, -0.2646582416725623]
[-0.20032353309783357, -0.05122513247894887]
[0.2344203085522761, -0.12440319713894665]
[-0.12987073992639953, 0.03424131632690661]
[-0.06001040901439897, 0.04290144964632206]
[0.07584140932138878, -0.06678984729256779]
[-0.019699178588493946, -0.07416937583603334]
[0.07486968658085125, -0.2273748290466316]
[-0.005857297067874523, -0.06330594653255342]
[0.03311852792798553, -0.00551308378031426]
[-0.06417751189899046, -0.018500619461106066]
[0.29812435103952084, 0.23445690279575787]
[-0.26714270534036655, 0.196567312822595]
[0.41256867704596956, -0.06690503724490476]
[-0.2311246218398083, -0.014828546323527026]
[-0.015270304734769147, -0.15060501789603814]
[0.17795978128803758, 0.08254721203548634]
[0.01896299941299262, 0.012237743906975629]
[-0.05315684944858523, 0.2527167997971554]
[0.01152057116685512, 0.0602065853159095]
[-0.11130585044481267, 0.37578784746719285]
[-0.10394737889750011, -0.14039512835184675]
[0.030403789939128956, -0.16591744795230778]
